Base Year,"Gross Domestic Product, Nominal, Undjusted, Domestic Currency","Household Consumption Expenditure, incl. NPISHs, Nominal, Undjusted, Domestic Currency","Change in Inventories, Nominal, Undjusted, Domestic Currency","Exports of Goods and Services, Nominal, Undjusted, Domestic Currency","Imports of Goods and Services, Nominal, Undjusted, Domestic Currency","National Accounts, Constant Prices, Unadjusted","Gross Domestic Product, Real, Undjusted, Domestic Currency","Household Consumption Expenditure, incl. NPISHs, Real, Undjusted, Domestic Currency","Change in Inventories, Real, Undjusted, Domestic Currency","Exports of Goods and Services, Real, Undjusted, Domestic Currency","Imports of Goods and Services, Real, Undjusted, Domestic Currency","Statistical Discrepancy in GDP, Real, Undjusted, Domestic Currency","National Accounts, Current Prices, Seasonally Adjusted","Gross Domestic Product, Nominal, Seasonally Adjusted, Domestic Currency","Household Consumption Expenditure, incl. NPISHs, Nominal, Seasonally Adjusted, Domestic Currency","Govenment Final Consumption Expenditure, Nominal, Seasonally adjusted, Domestic Currency","Gross Fixed Capital Formation, Nominal, Seasonally Adjusted, Domestic Currency","Change in Inventories, Nominal, Seasonally Adjusted, Domestic Currency","Exports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency","Imports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency","National Accounts, Constant Prices, Seasonally Adjusted","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","Household Consumption Expenditure, incl. NPISHs, Real, Seasonally Adjusted, Domestic Currency","Govenment Final Consumption Expenditure, Real, Seasonally adjusted, Domestic Currency","Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency","Change in Inventories, Real, Seasonally Adjusted, Domestic Currency","Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency","Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency","Statistical Discrepancy in GDP, Real, Seasonally Adjusted, Domestic Currency","Gross Domestic Product, Deflator, Seasonally Adjusted"
7/1/2019,5397764.00,3612425.00,41092.00,634796.00,800804.00,...,4796221.00,3277060.00,38565.00,642972.00,891962.00,1631.00,...,5382959.80,3620549.00,757597.30,1133321.50,17702.30,633330.30,779540.50,...,4782733.00,3287214.30,666694.30,1027902.80,17975.50,641752.50,869095.50,-6041.80,117.04
10/1/2019,5511056.00,3757996.00,-33223.00,646543.00,774682.00,...,4901993.00,3406167.00,-18802.00,657548.00,866238.00,-31272.00,...,5426633.00,3654760.50,765585.80,1131294.00,3663.50,632059.80,760730.50,...,4803922.80,3306402.30,670859.30,1025822.00,1205.30,642961.30,851165.00,-9563.80,117.47
1/1/2020,5254152.00,3510846.00,31052.00,590756.00,705124.00,...,4628460.00,3166575.00,22269.00,603825.00,791785.00,-2931.00,...,5384508.00,3610040.00,775368.80,1133201.30,-3421.00,603164.50,733845.80,...,4747469.30,3254187.50,673125.80,1023924.80,-8588.50,616826.00,823873.30,-4813.80,117.95
4/1/2020,4930197.00,3265059.00,-89619.00,454560.00,584852.00,...,4335915.00,2952999.00,-104282.00,488037.00,678014.00,-4600.00,...,4909182.80,3262441.50,791435.00,1061276.30,-74402.00,454362.50,585930.80,...,4344678.00,2954286.80,687408.00,955259.50,-69763.50,487842.00,679654.80,-18084.80,117.50
7/1/2020,5349433.00,3579847.00,37590.00,520893.00,712051.00,...,4701108.00,3212095.00,44900.00,542407.00,809261.00,-30491.00,...,5340607.00,3597175.30,783293.50,1124027.30,9214.00,526639.80,699742.50,...,4685930.00,3230595.30,674733.50,1006358.30,9198.30,548258.30,796045.00,-29048.50,118.52
10/1/2020,5539370.00,3760414.00,-22168.00,582406.00,774088.00,...,4843660.00,3369054.00,-4309.00,597415.00,875263.00,-49745.00,...,5426176.50,3646509.00,788278.80,1170749.50,12786.50,564449.00,756596.00,...,4731065.50,3261653.50,672222.00,1041557.30,14572.30,578758.30,854750.30,-22661.30,119.27
1/1/2021,5444406.00,3674436.00,12219.00,580058.00,752857.00,...,4691624.00,3252511.00,5080.00,567326.00,828188.00,-21457.00,...,5578462.50,3782871.00,822667.30,1200515.50,-25439.80,592283.30,794434.80,...,4804056.00,3346690.80,688780.50,1058475.30,-20742.80,579376.30,870508.80,-28639.30,120.75
4/1/2021,5784816.00,3962688.00,-70568.00,627337.00,834031.00,...,4890835.00,3447688.00,-85375.00,587786.00,888780.00,-4908.00,...,5761733.50,3953386.30,831839.00,1224968.00,-39860.80,625772.30,834371.30,...,4886062.00,3443422.00,685370.50,1067752.00,-35899.50,586283.00,887250.50,-29032.80,122.63
7/1/2021,5883177.00,4020505.00,4435.00,631472.00,878680.00,...,4916402.00,3451977.00,6964.00,578204.00,921996.00,-8125.00,...,5887605.00,4036824.30,843268.80,1243588.50,-13791.00,638333.30,860619.00,...,4918148.50,3468599.00,684936.80,1065445.00,-12139.00,584706.30,901570.80,-19120.30,124.49
10/1/2021,6203369.00,4244946.00,26412.00,702131.00,928120.00,...,5110951.00,3601913.00,53578.00,633467.00,961195.00,-58641.00,...,6087280.30,4129494.00,855955.80,1270507.00,60000.80,683259.30,911936.30,...,5001545.30,3495378.50,683830.50,1065733.30,49391.00,616418.00,940829.00,-16702.50,126.57
1/1/2022,6010733.00,4080898.00,88477.00,686682.00,928422.00,...,4855857.00,3396787.00,74126.00,594696.00,932048.00,-15506.00,...,6185120.00,4218692.30,870513.80,1310729.80,64354.80,702806.30,981977.00,...,4981022.00,3507095.80,681533.80,1073629.50,53631.50,609233.50,981408.30,-12779.50,129.13
4/1/2022,6352982.00,4333415.00,6799.00,759189.00,1019383.00,...,4985795.00,3535506.00,-15197.00,628378.00,990110.00,5780.00,...,6312119.00,4315334.50,893464.00,1325868.80,36343.00,759711.00,1018602.30,...,4973817.80,3524864.00,680355.80,1059620.50,27540.80,629232.00,986868.00,-13858.00,131.97
7/1/2022,6439154.00,4382031.00,46421.00,760148.00,1012921.00,...,5018093.00,3538969.00,24843.00,644824.00,992997.00,-8604.00,...,6430985.30,4385663.00,906056.50,1344247.80,17724.00,766242.80,988948.80,...,5013665.80,3544640.50,685059.00,1054952.30,9664.30,651034.30,968227.00,-23275.80,133.39
